Gender,Year,Shelter,Canteen_Usage,Weekly_Income,Foodspend%,Nutritional_consciousness, Usually_prefer_for_breakfast, Usually_prefer_for_Lunch, Usually_prefer_for_Dinner,DigitPayUsageCanteens,Convenience,Enhancements,Canteen_cleanliness_importance,University_canteen_sanitation,Cleanliness_rate_in_Base canteen,Cleanliness_rate_in_Gym_canteen,Cleanliness_rate_in_Staff_canteen,Cleanliness_rate_in_hilton_canteen,Cleanliness_rate_in_Din&sons_canteen,Cleanliness_rate_in_Helabojunhala_canteen,Cleanliness_rate_in_kirihala_canteen,Cleanliness_rate_in_staffJuicebar,Cleanliness_rate_in_GymJuicebar,Canteen_sanitation_issues ,Canteen_portion_sizes,Canteen_food_waste,Main_reason,Agree_on_portion_customization,Waste_management_rate_in_Basecanteen,Waste_management_rate_in_Gymcanteen,Waste_management_rate_in_Staffcanteen,Waste_management_rate_in_hiltoncanteen,Waste_management_rate_in_Don&sonscanteen,Waste_management_rate_in_Hela_bojun_hala_canteen,Waste_management_rate_in_kirihalacanteen,Waste_management_rate_in_staffJuicebar,Waste_management_rate_in_GymJuicebar,Most_visited_canteen,Base_Canteen_visits,Gym_Canteen_visits,Staff_Canteen_visits,Hilton_Canteen_visits,Don&Son's_shop_visits,Hela_Bojun_Hala_visits,Kiri Hala_Canteen_visits,JuiceBarI(in Gym)_visits,JuicebarII(in Staff)_visits,Factor_Food_Quality,Factor_Price,Factor_Service_Speed,Factor_Cleanliness,Factor_Beverage_Options,Factor_Seating_Availability,BaseCanteen_OverallSatisfaction,GymCanteen_OverallSatisfaction,StaffCanteen_OverallSatisfaction,HiltonCanteen_OverallSatisfaction,Don&Son'sshop_OverallSatisfaction,HelaBojunHala_OverallSatisfaction,KiriHalaCanteen_OverallSatisfaction,JuiceBarI(in Gym)_OverallSatisfaction,JuicebarII(in Staff)_OverallSatisfaction
Male,First Year,Bording/Apartment,Daily,Rs.2000 - Rs.3000,20 - 40,4 - Important,2,2,1,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Dissatisfied,3,3,4,3,3,3,3,3,3,Unclean seating areas,Much too small,Rarely,I didn't like the taste,Disagree,2,2,3,2,2,3,3,2,2,Staff canteen󠇯,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Gym Canteen,Gym Canteen,Gym Canteen,Gym Canteen,Gym Canteen,Gym Canteen,3,3,3,3,3,3,3,3,3
Male,First Year,Campus Hostels,Daily,Rs.2000 - Rs.3000,20 - 40,4 - Important,1,2,4,Rarely,5 - Very Convenient,Discounts or rewards for digital payments,5 - Very important,Dissatisfied,1,2,3,5,4,4,4,3,3,Unclean seating areas,Much too small,Never,The food was not fresh,Strongly Disagree,2,2,2,4,4,4,4,4,4,Hilton canteen󠇯,Never,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Base Canteen,Hilton Canteen,Hela Bojun Hala,Juice Bar I (in Gym),Juice bar II (in Staff),Juice bar II (in Staff),2,3,3,1,4,4,5,5,4
Female,Fourth Year,Campus Hostels,Frequently,Rs.3000 - Rs.4000,60 - 80,3 - Moderately important,4,2,1,Never,3 - Moderately Convenient,Discounts or rewards for digital payments,4 - Convenient,Neutral,4,3,4,3,4,4,4,4,4,Unclean equipment,Just right,Sometimes,The portion size is too large,Neutral,4,4,4,4,4,4,4,4,4,Gym canteen󠇯,Frequently,Daily,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Frequently,Rarely,Base Canteen,Gym Canteen,Base Canteen,Staff Canteen,Staff Canteen,Gym Canteen,4,3,4,3,4,3,3,3,3
Male,First Year,Bording/Apartment,Daily,Rs.4000 - Rs.5000,80 - 100,5 - Very important,2,2,2,Frequently,5 - Very Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,4,4,3,3,3,4,3,4,4,Unclean seating areas,Slightly too small,Sometimes,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Staff canteen󠇯,Frequently,Rarely,Daily,Occasionally,Rarely,Rarely,Rarely,Occasionally,Frequently,Staff Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,3,3,3,3,3,3,3,3
Female,Second Year,Bording/Apartment,Daily,Rs.3000 - Rs.4000,60 - 80,5 - Very important,5,2,5,Occasionally,4 - Convenient,Discounts or rewards for digital payments,5 - Very important,Satisfied,3,3,3,3,3,3,3,3,3,Poor food handling practices,Slightly too small,Rarely,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Base canteen󠇯,Daily,Frequently,Rarely,Rarely,Never,Rarely,Occasionally,Frequently,Rarely,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,Base Canteen,4,3,3,3,3,3,3,3,3
Female,First Year,Bording/Apartment,Frequently,Less than Rs.2000,20 - 40,3 - Moderately important,1,3,1,Never,3 - Moderately Convenient,Meal subscription plans,5 - Very important,Dissatisfied,3,4,5,3,2,3,3,2,2,Unclean seating areas,Just right,Sometimes,The food was not fresh,Agree,3,4,3,2,4,4,4,4,4,Base canteen󠇯,Daily,Frequently,Occasionally,Frequently,Frequently,Rarely,Rarely,Occasionally,Occasionally,Staff Canteen,Hilton Canteen,Don & Son's shop,Don & Son's shop,Juice bar II (in Staff),Gym Canteen,3,4,4,3,4,3,2,3,3
Male,First Year,Bording/Apartment,Frequently,Rs.3000 - Rs.4000,40 - 60,2 - Slightly important,1,2,1,Never,3 - Moderately Convenient,Meal subscription plans;Discounts or rewards for digital payments,5 - Very important,Satisfied,4,4,4,4,4,4,4,4,4,Unclean seating areas,Slightly too small,Rarely,I didn't like the taste,Neutral,3,3,3,3,4,4,4,4,4,Gym canteen󠇯,Frequently,Daily,Occasionally,Rarely,Rarely,Rarely,Rarely,Frequently,Frequently,Hela Bojun Hala,Hilton Canteen,Don & Son's shop,Don & Son's shop,Juice bar II (in Staff),Gym Canteen,3,3,3,2,4,4,4,4,4
Male,First Year,Bording/Apartment,Daily,Less than Rs.2000,60 - 80,4 - Important,1,2,1,Never,3 - Moderately Convenient,Meal subscription plans;Discounts or rewards for digital payments,4 - Convenient,Neutral,3,3,3,3,3,3,3,3,3,Unclean seating areas,Just right,Rarely,I didn't like the taste,Neutral,3,2,3,2,3,4,4,4,4,Staff canteen󠇯,Frequently,Frequently,Daily,Rarely,Frequently,Frequently,Occasionally,Daily,Daily,Hela Bojun Hala,Gym Canteen,Juice bar II (in Staff),Hela Bojun Hala,Juice bar II (in Staff),Gym Canteen,3,3,4,3,4,4,4,4,4
Female,First Year,Bording/Apartment,Daily,Rs.4000 - Rs.5000,60 - 80,5 - Very important,5,3,2,Never,3 - Moderately Convenient,Discounts or rewards for digital payments,5 - Very important,Neutral,4,4,3,3,3,4,3,4,3,Lack of waste disposal bins,Much too small,Rarely,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Gym canteen󠇯,Frequently,Daily,Rarely,Occasionally,Never,Rarely,Rarely,Daily,Occasionally,Gym Canteen,Gym Canteen,Base Canteen,Gym Canteen,Base Canteen,Gym Canteen,3,3,3,3,3,3,3,3,3
Female,First Year,At Home,Rarely,Less than Rs.2000,0 - 20,5 - Very important,1,2,2,Rarely,4 - Convenient,Meal subscription plans;Discounts or rewards for digital payments,5 - Very important,Neutral,3,3,3,3,3,3,3,3,3,Unclean equipment,Just right,Rarely,I didn't like the taste,Agree,3,3,3,3,3,3,3,3,3,Staff canteen󠇯,Rarely,Rarely,Daily,Rarely,Occasionally,Occasionally,Frequently,Daily,Daily,Staff Canteen,Gym Canteen,Juice bar II (in Staff),Hela Bojun Hala,Juice bar II (in Staff),Base Canteen,3,3,3,3,3,3,3,3,3
